,date,active case
279,"Nov 20, 2020",438663
280,"Nov 21, 2020",439305
281,"Nov 22, 2020",441781
282,"Nov 23, 2020",436567
283,"Nov 24, 2020",442512
284,"Nov 25, 2020",450099
285,"Nov 26, 2020",453046
286,"Nov 27, 2020",452723
287,"Nov 28, 2020",451755
288,"Nov 29, 2020",445184
289,"Nov 30, 2020",433587
290,"Dec 01, 2020",426328
291,"Dec 02, 2020",421272
292,"Dec 03, 2020",413416
293,"Dec 04, 2020",407213
294,"Dec 05, 2020",400889
295,"Dec 06, 2020",394553
296,"Dec 07, 2020",381774
297,"Dec 08, 2020",376267
298,"Dec 09, 2020",372573
299,"Dec 10, 2020",361057
300,"Dec 11, 2020",357036
301,"Dec 12, 2020",353899
302,"Dec 13, 2020",350158
303,"Dec 14, 2020",337362
304,"Dec 15, 2020",329408
305,"Dec 16, 2020",313856
306,"Dec 17, 2020",309364
307,"Dec 18, 2020",306124
308,"Dec 19, 2020",302847
309,"Dec 20, 2020",301386
310,"Dec 21, 2020",290024
311,"Dec 22, 2020",286486
312,"Dec 23, 2020",281046
313,"Dec 24, 2020",279473
314,"Dec 25, 2020",279382
315,"Dec 26, 2020",276201
316,"Dec 27, 2020",275148
317,"Dec 28, 2020",266141
318,"Dec 29, 2020",259806
319,"Dec 30, 2020",255032
320,"Dec 31, 2020",251802
321,"Jan 01, 2021",248547
322,"Jan 02, 2021",244898
323,"Jan 03, 2021",241733
324,"Jan 04, 2021",228595
325,"Jan 05, 2021",225068
326,"Jan 06, 2021",225636
327,"Jan 07, 2021",222941
328,"Jan 08, 2021",221973
329,"Jan 09, 2021",221114
330,"Jan 10, 2021",220309
331,"Jan 11, 2021",214039
332,"Jan 12, 2021",211987
333,"Jan 13, 2021",210998
334,"Jan 14, 2021",210654
335,"Jan 15, 2021",208825
336,"Jan 16, 2021",206389
337,"Jan 17, 2021",205688
338,"Jan 18, 2021",198367
339,"Jan 19, 2021",194758
340,"Jan 20, 2021",189808
341,"Jan 21, 2021",186397
342,"Jan 22, 2021",183408
343,"Jan 23, 2021",182106
344,"Jan 24, 2021",182061
345,"Jan 25, 2021",174942
346,"Jan 26, 2021",174330
347,"Jan 27, 2021",171453
348,"Jan 28, 2021",169884
349,"Jan 29, 2021",167926
350,"Jan 30, 2021",166783
351,"Jan 31, 2021",166313
352,"Feb 01, 2021",161342
353,"Feb 02, 2021",157968
354,"Feb 03, 2021",152972
355,"Feb 04, 2021",149366
356,"Feb 05, 2021",146570
357,"Feb 06, 2021",146825
358,"Feb 07, 2021",146743
359,"Feb 08, 2021",141778
360,"Feb 09, 2021",139502
361,"Feb 10, 2021",140115
362,"Feb 11, 2021",133659
363,"Feb 12, 2021",134331
364,"Feb 13, 2021",135353
365,"Feb 14, 2021",137399
366,"Feb 15, 2021",134651
367,"Feb 16, 2021",134323
368,"Feb 17, 2021",134869
369,"Feb 18, 2021",137063
370,"Feb 19, 2021",140716
371,"Feb 20, 2021",143273
372,"Feb 21, 2021",147696
373,"Feb 22, 2021",144937
374,"Feb 23, 2021",144636
375,"Feb 24, 2021",149227
376,"Feb 25, 2021",153464
377,"Feb 26, 2021",157028
378,"Feb 27, 2021",162118
379,"Feb 28, 2021",166331
380,"Mar 01, 2021",165823
381,"Mar 02, 2021",167811
382,"Mar 03, 2021",171077
383,"Mar 04, 2021",173997
384,"Mar 05, 2021",178024
385,"Mar 06, 2021",182277
386,"Mar 07, 2021",186522
387,"Mar 08, 2021",185191
388,"Mar 09, 2021",181784
389,"Mar 10, 2021",186309
390,"Mar 11, 2021",196413
391,"Mar 12, 2021",199670
392,"Mar 13, 2021",208153
393,"Mar 14, 2021",216954
394,"Mar 15, 2021",221072
395,"Mar 16, 2021",232004
396,"Mar 17, 2021",249875
397,"Mar 18, 2021",269022
398,"Mar 19, 2021",286138
399,"Mar 20, 2021",306781
400,"Mar 21, 2021",332366
401,"Mar 22, 2021",343039
402,"Mar 23, 2021",366063
403,"Mar 24, 2021",392652
404,"Mar 25, 2021",418546
405,"Mar 26, 2021",450192
406,"Mar 27, 2021",483776
407,"Mar 28, 2021",519531
408,"Mar 29, 2021",538276
409,"Mar 30, 2021",549848
410,"Mar 31, 2021",581121
411,"Apr 01, 2021",611692
412,"Apr 02, 2021",655803
413,"Apr 03, 2021",688212
414,"Apr 04, 2021",738680
415,"Apr 05, 2021",784692
416,"Apr 06, 2021",839599
417,"Apr 07, 2021",906065
418,"Apr 08, 2021",975298
419,"Apr 09, 2021",1042134
420,"Apr 10, 2021",1103561
421,"Apr 11, 2021",1197165
422,"Apr 12, 2021",1260226
423,"Apr 13, 2021",1362164
424,"Apr 14, 2021",1467197
425,"Apr 15, 2021",1564986
426,"Apr 16, 2021",1674638
427,"Apr 17, 2021",1795653
428,"Apr 18, 2021",1925521
429,"Apr 19, 2021",2026265
430,"Apr 20, 2021",2151804
431,"Apr 21, 2021",2285869
432,"Apr 22, 2021",2423817
433,"Apr 23, 2021",2545725
434,"Apr 24, 2021",2676189
435,"Apr 25, 2021",2809236
436,"Apr 26, 2021",2877087
437,"Apr 27, 2021",2974199
438,"Apr 28, 2021",3079288
439,"Apr 29, 2021",3167035
440,"Apr 30, 2021",3266240
441,"May 01, 2021",3345636
442,"May 02, 2021",3411922
443,"May 03, 2021",3444830
444,"May 04, 2021",3485387
445,"May 05, 2021",3562826
446,"May 06, 2021",3644603
447,"May 07, 2021",3721604
448,"May 08, 2021",3731934
449,"May 09, 2021",3740522
450,"May 10, 2021",3709638
451,"May 11, 2021",3697769
452,"May 12, 2021",3703597
453,"May 13, 2021",3697342
454,"May 14, 2021",3665551
455,"May 15, 2021",3608711
456,"May 16, 2021",3507543
457,"May 17, 2021",3343394
458,"May 18, 2021",3215810
459,"May 19, 2021",3118838
460,"May 20, 2021",3015978
461,"May 21, 2021",2912466
462,"May 22, 2021",2792582
463,"May 23, 2021",2707914
464,"May 24, 2021",2572930
465,"May 25, 2021",2481412
466,"May 26, 2021",2405872
467,"May 27, 2021",2317407
468,"May 28, 2021",2204560
469,"May 29, 2021",2098835
470,"May 30, 2021",2011195
471,"May 31, 2021",1879581
472,"Jun 01, 2021",1777552
473,"Jun 02, 2021",1696348
474,"Jun 03, 2021",1618586
475,"Jun 04, 2021",1538011
476,"Jun 05, 2021",1460253
477,"Jun 06, 2021",1384787
478,"Jun 07, 2021",1283822
479,"Jun 08, 2021",1213316
480,"Jun 09, 2021",1155904
481,"Jun 10, 2021",1111396
482,"Jun 11, 2021",1071286
483,"Jun 12, 2021",1016184
484,"Jun 13, 2021",969656
485,"Jun 14, 2021",906935
486,"Jun 15, 2021",859773
487,"Jun 16, 2021",821686
488,"Jun 17, 2021",794239
489,"Jun 18, 2021",755388
490,"Jun 19, 2021",724673
491,"Jun 20, 2021",698006
492,"Jun 21, 2021",659288
493,"Jun 22, 2021",638077
494,"Jun 23, 2021",621718
495,"Jun 24, 2021",607854
496,"Jun 25, 2021",590452
497,"Jun 26, 2021",581217
498,"Jun 27, 2021",567911
499,"Jun 28, 2021",547054
500,"Jun 29, 2021",531613
501,"Jun 30, 2021",517431
502,"Jul 01, 2021",505402
503,"Jul 02, 2021",490178
504,"Jul 03, 2021",480061
505,"Jul 04, 2021",476861
506,"Jul 05, 2021",458511
507,"Jul 06, 2021",454368
508,"Jul 07, 2021",454698
509,"Jul 08, 2021",453034
510,"Jul 09, 2021",449273
511,"Jul 10, 2021",448222
512,"Jul 11, 2021",445442
513,"Jul 12, 2021",426784
514,"Jul 13, 2021",425398
515,"Jul 14, 2021",427274
516,"Jul 15, 2021",425970
517,"Jul 16, 2021",419635
518,"Jul 17, 2021",418342
519,"Jul 18, 2021",417628
520,"Jul 19, 2021",401304
521,"Jul 20, 2021",406059
522,"Jul 21, 2021",408425
523,"Jul 22, 2021",404310
524,"Jul 23, 2021",408124
525,"Jul 24, 2021",407805
526,"Jul 25, 2021",409631
527,"Jul 26, 2021",397511
528,"Jul 27, 2021",398335
529,"Jul 28, 2021",402161
530,"Jul 29, 2021",404157
531,"Jul 30, 2021",407732
532,"Jul 31, 2021",409653
533,"Aug 01, 2021",413198
534,"Aug 02, 2021",403781
535,"Aug 03, 2021",409130
536,"Aug 04, 2021",409531
537,"Aug 05, 2021",413401
538,"Aug 06, 2021",411202
539,"Aug 07, 2021",405828
540,"Aug 08, 2021",401584
541,"Aug 09, 2021",387169
542,"Aug 10, 2021",385768
543,"Aug 11, 2021",386896
544,"Aug 12, 2021",384671
545,"Aug 13, 2021",386772
546,"Aug 14, 2021",384446
547,"Aug 15, 2021",381740
548,"Aug 16, 2021",368719
549,"Aug 17, 2021",366328
550,"Aug 18, 2021",363786
551,"Aug 19, 2021",362621
552,"Aug 20, 2021",360280
553,"Aug 21, 2021",352301
554,"Aug 22, 2021",333226
555,"Aug 23, 2021",326764
556,"Aug 24, 2021",321081
557,"Aug 25, 2021",332438
558,"Aug 26, 2021",343568
559,"Aug 27, 2021",358509
560,"Aug 28, 2021",367287
561,"Aug 29, 2021",375291
562,"Aug 30, 2021",369088
563,"Aug 31, 2021",377581
564,"Sep 01, 2021",388263
565,"Sep 02, 2021",398393
566,"Sep 03, 2021",404360
567,"Sep 04, 2021",408508
568,"Sep 05, 2021",403889
569,"Sep 06, 2021",390809
570,"Sep 07, 2021",389474
571,"Sep 08, 2021",391912
572,"Sep 09, 2021",391682
573,"Sep 10, 2021",392282
574,"Sep 11, 2021",385343
575,"Sep 12, 2021",375920
576,"Sep 13, 2021",360109
577,"Sep 14, 2021",349332
578,"Sep 15, 2021",340893
579,"Sep 16, 2021",337340
580,"Sep 17, 2021",338567
581,"Sep 18, 2021",329743
582,"Sep 19, 2021",317012
583,"Sep 20, 2021",307211
584,"Sep 21, 2021",300004
585,"Sep 22, 2021",299709
586,"Sep 23, 2021",298293
587,"Sep 24, 2021",299529
588,"Sep 25, 2021",301425
589,"Sep 26, 2021",298507
590,"Sep 27, 2021",288992
591,"Sep 28, 2021",280611
592,"Sep 29, 2021",274707
593,"Sep 30, 2021",273481
594,"Oct 01, 2021",271697
595,"Oct 02, 2021",269567
596,"Oct 03, 2021",263447
597,"Oct 04, 2021",250628
598,"Oct 05, 2021",244629
599,"Oct 06, 2021",242301
600,"Oct 07, 2021",238524
601,"Oct 08, 2021",235075
602,"Oct 09, 2021",229204
603,"Oct 10, 2021",226442
604,"Oct 11, 2021",212877
605,"Oct 12, 2021",205814
606,"Oct 13, 2021",204944
607,"Oct 14, 2021",202175
608,"Oct 15, 2021",200145
609,"Oct 16, 2021",194285
610,"Oct 17, 2021",188829
611,"Oct 18, 2021",181547
612,"Oct 19, 2021",176828
613,"Oct 20, 2021",177465
614,"Oct 21, 2021",174351
615,"Oct 22, 2021",172371
616,"Oct 23, 2021",171373
617,"Oct 24, 2021",166866
618,"Oct 25, 2021",162401
619,"Oct 26, 2021",161265
620,"Oct 27, 2021",159812
621,"Oct 28, 2021",160095
622,"Oct 29, 2021",160241
623,"Oct 30, 2021",157991
624,"Oct 31, 2021",157500
625,"Nov 01, 2021",152280
626,"Nov 02, 2021",149176
627,"Nov 03, 2021",147802
628,"Nov 04, 2021",148491
629,"Nov 05, 2021",146570
630,"Nov 06, 2021",144918
631,"Nov 07, 2021",143743
632,"Nov 08, 2021",141525
633,"Nov 09, 2021",140552
634,"Nov 10, 2021",144073
635,"Nov 11, 2021",142201
636,"Nov 12, 2021",140331
637,"Nov 13, 2021",138909
638,"Nov 14, 2021",137635
639,"Nov 15, 2021",134372
640,"Nov 16, 2021",132291
641,"Nov 17, 2021",131598
642,"Nov 18, 2021",130995
643,"Nov 19, 2021",128236
644,"Nov 20, 2021",126618
645,"Nov 21, 2021",122523
646,"Nov 22, 2021",117351
647,"Nov 23, 2021",113988
648,"Nov 24, 2021",111755
649,"Nov 25, 2021",111543
650,"Nov 26, 2021",109520
651,"Nov 27, 2021",106694
652,"Nov 28, 2021",105281
653,"Nov 29, 2021",102173
654,"Nov 30, 2021",100739
655,"Dec 01, 2021",99812
656,"Dec 02, 2021",100082
657,"Dec 03, 2021",99651
658,"Dec 04, 2021",99979
659,"Dec 05, 2021",101152
660,"Dec 06, 2021",98916
661,"Dec 07, 2021",97153
662,"Dec 08, 2021",96887
663,"Dec 09, 2021",96506
664,"Dec 10, 2021",96422
665,"Dec 11, 2021",94621
666,"Dec 12, 2021",93301
667,"Dec 13, 2021",90856
668,"Dec 14, 2021",89596
669,"Dec 15, 2021",89119
670,"Dec 16, 2021",88155
671,"Dec 17, 2021",87121
672,"Dec 18, 2021",85228
673,"Dec 19, 2021",84189
674,"Dec 20, 2021",80979
675,"Dec 21, 2021",78931
676,"Dec 22, 2021",79081
677,"Dec 23, 2021",78423
678,"Dec 24, 2021",78138
679,"Dec 25, 2021",77676
680,"Dec 26, 2021",76797
681,"Dec 27, 2021",75717
682,"Dec 28, 2021",78156
683,"Dec 29, 2021",83691
684,"Dec 30, 2021",92745
685,"Dec 31, 2021",107524
686,"Jan 01, 2022",116591
687,"Jan 02, 2022",150217
688,"Jan 03, 2022",176625
689,"Jan 04, 2022",207786
690,"Jan 05, 2022",277932
691,"Jan 06, 2022",365136
692,"Jan 07, 2022",465938
693,"Jan 08, 2022",584375
694,"Jan 09, 2022",718097
695,"Jan 10, 2022",815205
696,"Jan 11, 2022",949073
697,"Jan 12, 2022",1111280
698,"Jan 13, 2022",1265818
699,"Jan 14, 2022",1411532
700,"Jan 15, 2022",1544085
701,"Jan 16, 2022",1650041
702,"Jan 17, 2022",1730332
703,"Jan 18, 2022",1824698
704,"Jan 19, 2022",1917741
705,"Jan 20, 2022",2012506
706,"Jan 21, 2022",2107039
707,"Jan 22, 2022",2180887
708,"Jan 23, 2022",2242976
709,"Jan 24, 2022",2230524
710,"Jan 25, 2022",2216664
711,"Jan 26, 2022",2196109
712,"Jan 27, 2022",2099239
713,"Jan 28, 2022",1997959
714,"Jan 29, 2022",1878553
715,"Jan 30, 2022",1824891
716,"Jan 31, 2022",1736641
717,"Feb 01, 2022",1615168
